WID	WORD	LABEL	FACTOR	VALUE
163	【意】	33-意	ONYOMIREAD	0.629258945209812
164	【意】	33-意	KUNYOMIWRITE	-0.253855214482647
165	【意】	33-意	KUNYOMIREAD	-0.249196084578678
166	【違】	34-違	KNOW	0.923957570194624
167	【違】	34-違	ONYOMIWRITE	0.513745368349513
168	【違】	34-違	ONYOMIREAD	0.557831711325606
169	【違】	34-違	KUNYOMIWRITE	0.590677387147885
170	【違】	34-違	KUNYOMIREAD	0.610907698091286
171	【維】	35-維	KNOW	0.510349953005103
172	【維】	35-維	ONYOMIWRITE	-0.351493274279821
173	【維】	35-維	ONYOMIREAD	-0.0194834291260127
174	【維】	35-維	KUNYOMIWRITE	-0.954327163390633
175	【維】	35-維	KUNYOMIREAD	-0.762350584344067
176	【慰】	36-慰	KNOW	0.453383665902784
177	【慰】	36-慰	ONYOMIWRITE	-0.840606643542124
178	【慰】	36-慰	ONYOMIREAD	-0.528311203953731
179	【慰】	36-慰	KUNYOMIWRITE	-0.915980146473042
180	【慰】	36-慰	KUNYOMIREAD	-0.488987311278427
181	【遺】	37-遺	KNOW	0.689945073440981
182	【遺】	37-遺	ONYOMIWRITE	-0.520096802192648
183	【遺】	37-遺	ONYOMIREAD	-0.148691964731536
184	【遺】	37-遺	KUNYOMIWRITE	-0.794666556219604
185	【遺】	37-遺	KUNYOMIREAD	-0.618922880109475
186	【緯】	38-緯	KNOW	0.831016970275562
187	【緯】	38-緯	ONYOMIWRITE	-0.833789137457732
188	【緯】	38-緯	ONYOMIREAD	-0.582291059596944
189	【緯】	38-緯	KUNYOMIWRITE	-1.03218252784906
190	【緯】	38-緯	KUNYOMIREAD	-1.0887382221988
191	【域】	39-域	KNOW	1.02765047172337
192	【域】	39-域	ONYOMIWRITE	-0.146055886233851
193	【域】	39-域	ONYOMIREAD	-0.0151864696782514
194	【域】	39-域	KUNYOMIWRITE	-0.739865420895169
195	【域】	39-域	KUNYOMIREAD	-0.641458918399802
196	【育】	40-育	KNOW	1.08328821801528
197	【育】	40-育	ONYOMIWRITE	0.263952347881801
198	【育】	40-育	ONYOMIREAD	0.423535444165241
199	【育】	40-育	KUNYOMIWRITE	0.199829025959609
200	【育】	40-育	KUNYOMIREAD	0.298511832194774
201	【一】	41-一	KNOW	1.25834436302279
202	【一】	41-一	ONYOMIWRITE	0.772575507056905
203	【一】	41-一	ONYOMIREAD	0.827742958228935
204	【一】	41-一	KUNYOMIWRITE	0.792910012838901
205	【一】	41-一	KUNYOMIREAD	0.730843601189899
206	【壱】	42-壱	KNOW	0.988990480228562
207	【壱】	42-壱	ONYOMIWRITE	-0.736652316549132
208	【壱】	42-壱	ONYOMIREAD	-0.462958521548082
209	【壱】	42-壱	KUNYOMIWRITE	-0.991330381949189
210	【壱】	42-壱	KUNYOMIREAD	-0.83449360372895
211	【逸】	43-逸	KNOW	0.790125999887691
212	【逸】	43-逸	ONYOMIWRITE	-0.656770936672566
213	【逸】	43-逸	ONYOMIREAD	-0.367196318871133
214	【逸】	43-逸	KUNYOMIWRITE	-0.858182852735838
215	【逸】	43-逸	KUNYOMIREAD	-0.619302788471897
216	【茨】	44-茨	KNOW	0.691120080486264
217	【茨】	44-茨	ONYOMIWRITE	-1.11020342097983
218	【茨】	44-茨	ONYOMIREAD	-0.839580316986822
219	【茨】	44-茨	KUNYOMIWRITE	-0.837223733056329
220	【茨】	44-茨	KUNYOMIREAD	-0.718435984973902
221	【芋】	45-芋	KNOW	0.967873408190588
222	【芋】	45-芋	ONYOMIWRITE	-0.955734422617706
223	【芋】	45-芋	ONYOMIREAD	-0.915038333636914
224	【芋】	45-芋	KUNYOMIWRITE	-0.641306224631668
225	【芋】	45-芋	KUNYOMIREAD	-0.287647919727127
226	【引】	46-引	KNOW	1.22213129390389
227	【引】	46-引	ONYOMIWRITE	0.473337462256802
228	【引】	46-引	ONYOMIREAD	0.656096611538375
229	【引】	46-引	KUNYOMIWRITE	0.59793834922952
230	【引】	46-引	KUNYOMIREAD	0.633015860540266
231	【印】	47-印	KNOW	1.22106799249551
232	【印】	47-印	ONYOMIWRITE	0.401223710842163
233	【印】	47-印	ONYOMIREAD	0.478153934728972
234	【印】	47-印	KUNYOMIWRITE	0.260880453736693
235	【印】	47-印	KUNYOMIREAD	0.286746280985915
236	【因】	48-因	KNOW	1.10533431835323
237	【因】	48-因	ONYOMIWRITE	0.122084578704395
238	【因】	48-因	ONYOMIREAD	0.24117496032815
239	【因】	48-因	KUNYOMIWRITE	-0.48094015871213
240	【因】	48-因	KUNYOMIREAD	-0.405762739487011
241	【咽】	49-咽	KNOW	0.0472624601001393
242	【咽】	49-咽	ONYOMIWRITE	-0.993725882301932
243	【咽】	49-咽	ONYOMIREAD	-0.637416443404571
244	【咽】	49-咽	KUNYOMIWRITE	-1.26544944301924
245	【咽】	49-咽	KUNYOMIREAD	-0.935257400092161
246	【姻】	50-姻	KNOW	0.165452815662785
247	【姻】	50-姻	ONYOMIWRITE	-0.855171085700266
248	【姻】	50-姻	ONYOMIREAD	-0.678777644155974
249	【姻】	50-姻	KUNYOMIWRITE	-1.46420131995473
250	【姻】	50-姻	KUNYOMIREAD	-1.08831738531562
251	【員】	51-員	KNOW	0.831900297992546
252	【員】	51-員	ONYOMIWRITE	0.105087531212311
253	【員】	51-員	ONYOMIREAD	0.203678507000949
254	【員】	51-員	KUNYOMIWRITE	-0.699670246816901
255	【員】	51-員	KUNYOMIREAD	-0.406417309056047
256	【院】	52-院	KNOW	0.876753716794194
257	【院】	52-院	ONYOMIWRITE	0.26304188296466
258	【院】	52-院	ONYOMIREAD	0.242509962845573
259	【院】	52-院	KUNYOMIWRITE	-0.713512985885975
260	【院】	52-院	KUNYOMIREAD	-0.636166481895887
261	【淫】	53-淫	KNOW	0.344015754712415
262	【淫】	53-淫	ONYOMIWRITE	-0.954836548086124
263	【淫】	53-淫	ONYOMIREAD	-0.75216205914935
264	【淫】	53-淫	KUNYOMIWRITE	-1.17268193004049
265	【淫】	53-淫	KUNYOMIREAD	-0.895288383575941
266	【陰】	54-陰	KNOW	0.632484936979253
267	【陰】	54-陰	ONYOMIWRITE	-0.272040314649008
268	【陰】	54-陰	ONYOMIREAD	-0.108433071094789
269	【陰】	54-陰	KUNYOMIWRITE	-0.481000155962049
270	【陰】	54-陰	KUNYOMIREAD	-0.265049192811131
271	【飲】	55-飲	KNOW	0.847732631526706
272	【飲】	55-飲	ONYOMIWRITE	0.634740909292058
273	【飲】	55-飲	ONYOMIREAD	0.733297334513265
274	【飲】	55-飲	KUNYOMIWRITE	0.671999117809157
275	【飲】	55-飲	KUNYOMIREAD	0.652823613610726
276	【隠】	56-隠	KNOW	0.773709155218817
277	【隠】	56-隠	ONYOMIWRITE	-0.0348433494751292
278	【隠】	56-隠	ONYOMIREAD	0.279032268543024
279	【隠】	56-隠	KUNYOMIWRITE	-0.148322083812392
280	【隠】	56-隠	KUNYOMIREAD	0.262434406670466
281	【韻】	57-韻	KNOW	0.0636370162404066
282	【韻】	57-韻	ONYOMIWRITE	-1.26926107396307
283	【韻】	57-韻	ONYOMIREAD	-0.933116629757881
284	【韻】	57-韻	KUNYOMIWRITE	-1.57952500230205
285	【韻】	57-韻	KUNYOMIREAD	-1.38482454772816
286	【右】	58-右	KNOW	0.950505069544722
287	【右】	58-右	ONYOMIWRITE	0.494333689274821
288	【右】	58-右	ONYOMIREAD	0.654504833400677
289	【右】	58-右	KUNYOMIWRITE	0.67497070439285
290	【右】	58-右	KUNYOMIREAD	0.68874042442857
291	【宇】	59-宇	KNOW	0.772160702606338
292	【宇】	59-宇	ONYOMIWRITE	0.084188524886078
293	【宇】	59-宇	ONYOMIREAD	0.261472046113454
294	【宇】	59-宇	KUNYOMIWRITE	-0.561640099818444
295	【宇】	59-宇	KUNYOMIREAD	-0.426673331029504
296	【羽】	60-羽	KNOW	0.871433142565385
297	【羽】	60-羽	ONYOMIWRITE	0.0459645764256293
298	【羽】	60-羽	ONYOMIREAD	0.24212047092325
299	【羽】	60-羽	KUNYOMIWRITE	0.0659344553996712
300	【羽】	60-羽	KUNYOMIREAD	0.2631409723906
301	【雨】	61-雨	KNOW	1.15502748561688
302	【雨】	61-雨	ONYOMIWRITE	0.490910331104652
